Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2021";"Zeeland";"4392";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2022";"Zeeland";"4492,8";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2023";"Zeeland";"5245,2";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2024";"Zeeland";"5209,2";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2010";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2011";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2012";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2013";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2014";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2015";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2016";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2017";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2018";"Zeeland";"145,368";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2019";"Zeeland";"234";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2020";"Zeeland";"414";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2021";"Zeeland";"468";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2022";"Zeeland";"698,4";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2023";"Zeeland";"770,4";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (dakopstelling, grote systemen)";"TJ";"2024";"Zeeland";"813,6";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2010";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2011";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2012";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2013";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2014";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2015";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2016";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2017";"Zeeland";"x";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2018";"Zeeland";"79,272";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2019";"Zeeland";"388,8";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2020";"Zeeland";"586,8";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2021";"Zeeland";"561,6";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2022";"Zeeland";"871,2";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2023";"Zeeland";"939,6";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Zonnestroom (veldopstelling, grote systemen)";"TJ";"2024";"Zeeland";"979,2";"CBS - Statistiek zonnestroom en schatting RVO";"";
"3.2 Resultaten elektriciteit";"3.2.1a Wind (fysiek opgesteld)";"Wind op land fysiek opgesteld vermogen";"MW";"2025";"Zeeland";"634,7";"Windstats";"";
